YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2020-W53,2600,0,0,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2020-W53,2332,0,0,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2020-W53,0,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2020-W53,4932,0,0,0,61425,AT,8901064,AT,ALL,COM,7358443
2020-W53,0,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2020-W53,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2020-W53,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2020-W53,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2020-W53,109,0,0,0,61425,AT,8901064,AT,Age18_24,COM,696064
2020-W53,1252,0,0,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2020-W53,0,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2020-W53,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2020-W53,0,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2020-W53,966,0,0,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2020-W53,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2020-W53,0,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2020-W53,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2020-W53,497,0,0,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2020-W53,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2020-W53,585,0,0,0,61425,AT,8901064,AT,Age70_79,COM,769199
2020-W53,0,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2020-W53,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2020-W53,0,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2020-W53,1518,0,0,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W01,7252,0,0,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W01,17773,0,0,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W01,0,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W01,0,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W01,25025,0,0,0,61425,AT,8901064,AT,ALL,COM,7358443
2021-W01,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W01,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W01,956,0,0,0,61425,AT,8901064,AT,Age18_24,COM,696064
2021-W01,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W01,10385,0,0,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W01,6387,0,0,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W01,2112,0,0,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W01,1503,0,0,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W01,3637,0,0,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W02,71,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W02,36679,0,153,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W02,43161,0,183,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W02,6,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W02,79840,0,336,0,61425,AT,8901064,AT,ALL,COM,7358443
2021-W02,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W02,77,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W02,2601,0,12,0,61425,AT,8901064,AT,Age18_24,COM,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W02,23490,0,83,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W02,1,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W02,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W02,16944,0,87,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W02,5,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W02,4,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W02,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W02,8426,0,40,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W02,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W02,7845,0,43,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W02,5,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W02,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W02,20408,0,70,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W02,62,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W03,39041,0,2237,0,58500,AT,8901064,AT,1_Age60+,COM,2259262
2021-W03,22,0,0,0,7200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W03,181,0,0,0,7200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W03,51293,0,2101,0,58500,AT,8901064,AT,1_Age<60,COM,5099181
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W03,203,0,0,0,7200,AT,8901064,AT,ALL,MOD,7358443
2021-W03,90334,0,4338,0,58500,AT,8901064,AT,ALL,COM,7358443
2021-W03,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W03,23,0,0,0,7200,AT,8901064,AT,Age18_24,MOD,696064
2021-W03,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W03,3566,0,96,0,58500,AT,8901064,AT,Age18_24,COM,696064
2021-W03,107,0,0,0,7200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W03,29547,0,1144,0,58500,AT,8901064,AT,Age25_49,COM,3006228
2021-W03,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W03,51,0,0,0,7200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W03,18094,0,858,0,58500,AT,8901064,AT,Age50_59,COM,1396889
2021-W03,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W03,6872,0,438,0,58500,AT,8901064,AT,Age60_69,COM,1016016
2021-W03,6,0,0,0,7200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W03,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W03,7,0,0,0,7200,AT,8901064,AT,Age70_79,MOD,769199
2021-W03,7024,0,498,0,58500,AT,8901064,AT,Age70_79,COM,769199
2021-W03,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W03,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W03,9,0,0,0,7200,AT,8901064,AT,Age80+,MOD,474047
2021-W03,25145,0,1301,0,58500,AT,8901064,AT,Age80+,COM,474047
2021-W04,1130,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W04,13449,0,5858,0,54990,AT,8901064,AT,1_Age60+,COM,2259262
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W04,13039,0,10853,0,54990,AT,8901064,AT,1_Age<60,COM,5099181
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W04,2564,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W04,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W04,26488,0,16711,0,54990,AT,8901064,AT,ALL,COM,7358443
2021-W04,3694,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W04,67,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W04,1261,0,680,0,54990,AT,8901064,AT,Age18_24,COM,696064
2021-W04,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W04,7372,0,6083,0,54990,AT,8901064,AT,Age25_49,COM,3006228
2021-W04,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W04,1539,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W04,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W04,4385,0,4050,0,54990,AT,8901064,AT,Age50_59,COM,1396889
2021-W04,957,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W04,1619,0,1616,0,54990,AT,8901064,AT,Age60_69,COM,1016016
2021-W04,597,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W04,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W04,1546,0,1226,0,54990,AT,8901064,AT,Age70_79,COM,769199
2021-W04,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W04,175,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W04,10284,0,3016,0,54990,AT,8901064,AT,Age80+,COM,474047
2021-W04,358,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W04,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W05,0,0,0,0,36000,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W05,5040,0,30910,0,66690,AT,8901064,AT,1_Age60+,COM,2259262
2021-W05,1209,0,1,0,28800,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W05,0,0,0,0,36000,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W05,11279,0,43111,0,66690,AT,8901064,AT,1_Age<60,COM,5099181
2021-W05,295,0,0,0,28800,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W05,1504,0,1,0,28800,AT,8901064,AT,ALL,MOD,7358443
2021-W05,16319,0,74021,0,66690,AT,8901064,AT,ALL,COM,7358443
2021-W05,0,0,0,0,36000,AT,8901064,AT,ALL,AZ,7358443
2021-W05,11,0,0,0,28800,AT,8901064,AT,Age18_24,MOD,696064
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age18_24,AZ,696064
2021-W05,881,0,2571,0,66690,AT,8901064,AT,Age18_24,COM,696064
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age25_49,AZ,3006228
2021-W05,6228,0,24020,0,66690,AT,8901064,AT,Age25_49,COM,3006228
2021-W05,175,0,0,0,28800,AT,8901064,AT,Age25_49,MOD,3006228
2021-W05,4121,0,16409,0,66690,AT,8901064,AT,Age50_59,COM,1396889
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age50_59,AZ,1396889
2021-W05,109,0,0,0,28800,AT,8901064,AT,Age50_59,MOD,1396889
2021-W05,28,0,0,0,28800,AT,8901064,AT,Age60_69,MOD,1016016
2021-W05,1532,0,7463,0,66690,AT,8901064,AT,Age60_69,COM,1016016
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age60_69,AZ,1016016
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age70_79,AZ,769199
2021-W05,31,0,0,0,28800,AT,8901064,AT,Age70_79,MOD,769199
2021-W05,1157,0,6507,0,66690,AT,8901064,AT,Age70_79,COM,769199
2021-W05,2351,0,16940,0,66690,AT,8901064,AT,Age80+,COM,474047
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age80+,AZ,474047
2021-W05,1150,0,1,0,28800,AT,8901064,AT,Age80+,MOD,474047
2021-W06,569,0,0,0,43200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W06,5509,0,35343,0,66690,AT,8901064,AT,1_Age60+,COM,2259262
2021-W06,1639,0,73,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W06,9603,0,0,0,43200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W06,2182,0,6,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W06,7547,0,48654,0,66690,AT,8901064,AT,1_Age<60,COM,5099181
2021-W06,3821,0,79,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W06,13056,0,83997,0,66690,AT,8901064,AT,ALL,COM,7358443
2021-W06,10172,0,0,0,43200,AT,8901064,AT,ALL,AZ,7358443
2021-W06,2154,0,0,0,43200,AT,8901064,AT,Age18_24,AZ,696064
2021-W06,94,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W06,577,0,3257,0,66690,AT,8901064,AT,Age18_24,COM,696064
2021-W06,1244,0,1,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W06,5016,0,0,0,43200,AT,8901064,AT,Age25_49,AZ,3006228
2021-W06,4195,0,27989,0,66690,AT,8901064,AT,Age25_49,COM,3006228
2021-W06,844,0,5,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W06,2735,0,17330,0,66690,AT,8901064,AT,Age50_59,COM,1396889
2021-W06,2415,0,0,0,43200,AT,8901064,AT,Age50_59,AZ,1396889
2021-W06,1327,0,6628,0,66690,AT,8901064,AT,Age60_69,COM,1016016
2021-W06,561,0,0,0,43200,AT,8901064,AT,Age60_69,AZ,1016016
2021-W06,301,0,4,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W06,426,0,5,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W06,6,0,0,0,43200,AT,8901064,AT,Age70_79,AZ,769199
2021-W06,1367,0,6213,0,66690,AT,8901064,AT,Age70_79,COM,769199
2021-W06,2815,0,22502,0,66690,AT,8901064,AT,Age80+,COM,474047
2021-W06,912,0,64,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W06,2,0,0,0,43200,AT,8901064,AT,Age80+,AZ,474047
2021-W07,21667,0,19645,0,80730,AT,8901064,AT,1_Age60+,COM,2259262
2021-W07,2344,0,19,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W07,2231,0,1,0,76800,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W07,1511,0,176,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W07,29001,0,1,0,76800,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W07,4147,0,18404,0,80730,AT,8901064,AT,1_Age<60,COM,5099181
2021-W07,3855,0,195,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W07,25814,0,38049,0,80730,AT,8901064,AT,ALL,COM,7358443
2021-W07,31232,0,2,0,76800,AT,8901064,AT,ALL,AZ,7358443
2021-W07,3547,0,0,0,76800,AT,8901064,AT,Age18_24,AZ,696064
